iter	RMSE
0	2828.464232
1	2726.078672
2	2652.494815
3	2585.753301
4	2494.827445
5	2431.032872
6	2370.25705
7	2315.612034
8	2223.866454
9	2136.758707
10	2043.311901
11	1985.399554
12	1905.338697
13	1851.475184
14	1788.326222
15	1739.125304
16	1679.865334
17	1628.044411
18	1570.415181
19	1530.692968
20	1472.442785
21	1417.228126
22	1379.837629
23	1343.504746
24	1295.222586
25	1248.285546
26	1216.067979
27	1185.751395
28	1140.530061
29	1100.827006
30	1074.586304
31	1047.706935
32	1021.289191
33	995.630406
34	970.145758
35	936.7793933
36	913.3186531
37	880.7150999
38	858.8844419
39	829.4625836
40	808.7939639
41	781.0039449
42	754.1818312
43	735.4258975
44	716.8402405
45	689.2112511
46	663.0735871
47	637.9502044
48	614.0316952
49	593.3964961
50	578.658857
51	556.9102938
52	538.1228215
53	524.7896488
54	511.5183887
55	498.8290834
56	486.2789886
57	474.1220137
58	462.2689632
59	444.6874048
60	427.9666751
61	417.267508
62	406.8330987
63	396.662271
64	386.7457141
65	377.0216017
66	367.6236307
67	358.4330398
68	349.4722136
69	340.7628287
70	332.2437578
71	323.9376637
72	315.7932178
73	307.8548965
74	300.1585239
75	292.6545607
76	285.3381966
77	278.1666342
78	271.2124682
79	264.4321564
80	257.787106
81	251.3424283
82	245.0783143
83	238.9513563
84	232.9775723
85	227.1531329
86	221.4743045
87	215.9093142
88	210.5115813
89	205.2487917
90	200.0922898
91	195.0660822
92	190.1668361
93	185.4126651
94	180.7773484
95	176.2376102
96	171.8316699
97	167.5171635
98	163.3292344
99	159.2460035
