iter	Passed	Remaining
0	1	112
1	3	152
2	5	186
3	9	225
4	11	213
5	13	212
6	16	222
7	19	220
8	21	220
9	23	215
10	25	205
11	28	205
12	29	197
13	32	198
14	33	192
15	36	189
16	38	187
17	40	182
18	43	184
19	46	185
20	48	182
21	50	180
22	54	181
23	57	180
24	59	179
25	61	175
26	65	177
27	68	175
28	71	174
29	73	171
30	75	168
31	77	164
32	80	163
33	83	161
34	86	161
35	90	161
36	94	160
37	95	155
38	98	153
39	100	150
40	102	147
41	104	144
42	107	142
43	111	141
44	113	138
45	115	135
46	117	132
47	119	129
48	121	126
49	124	124
50	128	123
51	129	119
52	130	115
53	132	112
54	135	110
55	137	107
56	140	106
57	142	103
58	145	101
59	147	98
60	149	95
61	153	94
62	155	91
63	158	89
64	162	87
65	165	85
66	167	82
67	170	80
68	172	77
69	175	75
70	179	73
71	182	71
72	185	68
73	187	65
74	190	63
75	192	60
76	195	58
77	197	55
78	200	53
79	201	50
80	203	47
81	204	44
82	206	42
83	208	39
84	210	37
85	211	34
86	213	31
87	214	29
88	216	26
89	218	24
90	219	21
91	220	19
92	221	16
93	223	14
94	224	11
95	225	9
96	227	7
97	228	4
98	230	2
99	232	0
