iter	Passed	Remaining
0	0	592
1	1	597
2	1	531
3	1	494
4	2	561
5	3	596
6	4	614
7	4	611
8	5	592
9	5	580
10	6	587
11	6	563
12	7	546
13	7	529
14	8	536
15	8	536
16	8	520
17	9	520
18	10	522
19	10	518
20	11	521
21	11	524
22	12	517
23	12	518
24	13	517
25	13	524
26	14	523
27	14	520
28	15	515
29	16	517
30	16	518
31	17	525
32	18	528
33	18	526
34	19	531
35	19	535
36	20	535
37	21	535
38	21	533
39	22	539
40	23	540
41	24	552
42	24	551
43	25	549
44	25	549
45	26	550
46	27	551
47	27	554
48	28	551
49	29	552
50	29	548
51	30	547
52	30	542
53	30	541
54	31	542
55	32	543
56	32	544
57	33	545
58	34	543
59	34	544
60	35	544
61	36	545
62	36	543
63	37	546
64	38	547
65	39	553
66	40	558
67	41	565
68	41	566
69	42	568
70	43	569
71	44	567
72	44	563
73	44	561
74	45	557
75	45	554
76	46	554
77	46	553
78	47	551
79	47	550
80	48	547
81	48	547
82	49	546
83	49	544
84	50	544
85	51	544
86	52	545
87	53	549
88	53	551
89	54	554
90	55	556
91	56	554
92	56	552
93	57	549
94	57	547
95	58	551
96	59	550
97	59	546
98	59	545
99	60	543
100	60	541
101	61	539
102	62	539
103	62	538
104	62	536
105	63	534
106	64	534
107	64	533
108	65	534
109	66	534
110	66	533
111	67	532
112	68	535
113	68	535
114	69	536
115	70	535
116	71	536
117	72	539
118	72	540
119	73	537
120	73	535
121	74	535
122	75	534
123	75	534
124	76	535
125	77	536
126	77	534
127	78	534
128	78	531
129	79	531
130	80	531
131	80	531
132	81	531
133	82	533
134	83	532
135	83	531
136	84	530
137	84	528
138	85	527
139	85	526
140	86	525
141	87	525
142	87	524
143	88	524
144	88	523
145	89	522
146	89	520
147	90	519
148	90	519
149	91	518
150	92	518
151	92	518
152	93	516
153	93	514
154	94	513
155	94	513
156	95	512
157	96	513
158	96	512
159	97	511
160	98	510
161	98	509
162	99	508
163	99	506
164	99	505
165	100	504
166	101	504
167	101	504
168	102	503
169	103	502
170	103	502
171	104	501
